N.I.F.;Nombre 1;Nombre 2;VMA;;;;;
8001808546;AMERICAN ORTHOPEDIC LOZANO Y CIA SAS;S;9498;;;;;
8001821365;HOSPITAL PRIMER NIVEL DE ATENCION SAN AN;;9501;;;;;
8001839437;CLINICA SANTA MARIA LTDA;;9504;;;;;
8001854499;DIACOR S A  - INSTITUTO DEL CORAZON DE I;;9509;;;;;
8001869011;NEUROFIC LTDA CENTRO NEUROFISIOLOGICA CL;CA CLINICA;9527;;;;;
8001899846;IMaGENES DIAGNOSTICAS S A;;9537;;;;;
8001908841;CLINICA ANTIOQUIA S A;;9540;;;;;
8001911016;ESE HOSPITAL SAN VICENTE DE PAUL;;9541;;;;;
8001916436;E.S.E. HOSPITAL REGIONAL SAN MARCOS II N;;9543;;;;;
8001919161;CLINICA SAN FRANCISCO S.A.;;9545;;;;;
8001934905;HOSPITAL SANTA ANA NIVEL I DEL MUNICIPIO;CIPIO DE FALAN;9549;;;;;
8001938012;CENTRO OFTALMOLOGICO SURCOLOMBIANO LTDA;LTDA;9554;;;;;
8001939042;E S E HOSPITAL JUAN PABLO II ARATOCA;CA;9556;;;;;
8001939121;ESE HOSPITAL SAN RAFAEL DE CHINU;;9557;;;;;
8001939898;CENTRO DIAGNOSTICO DE ESPECIALISTAS CEDE;;9558;;;;;
8001943284;E.S.E.SAN BARTOLOME;;9559;;;;;
8001946271;ESE HOSPITAL SAN JOSE DE BELALCAZAR;;9560;;;;;
8001946716;CLINICA ORIENTE S A S;;9561;;;;;
8001964339;HOSPITAL SIMON BOLIVAR III NIVEL E S E;S E;9565;;;;;
8001969393;HOSPITAL OCCIDENTE DE KENNEDY III NIVEL;IVEL EMPRESA SOCIAL DEL ESTADO;9568;;;;;
8001971772;HOSPITAL LA VICTORIA III NIVEL E S E;E;9570;;;;;
8001972179;CLINICA DE ESPECIALISTAS MARIA AUXILIADO;;9571;;;;;
8001976014;ANGIOGRAFIA DE OCCIDENTE S A;;9573;;;;;
8001981745;MEDISERVICIOS S A;;9579;;;;;
8001993975;FISIOTER LIMITADA;;9580;;;;;
8001999761;GERMAN PABLO SANDOVAL AUDIOFON S.A.S.;;9581;;;;;
8002007892;CLINICA CHIA S A;;9586;;;;;
8002010187;CLINICA VASCULAR DE BOGOTA;;9588;;;;;
8002011977;EMPRESA SOCIAL DEL ESTADO HOSPITAL;;9589;;;;;
8002017263;FUNDACION POLICLINICA CIENAGA;;9594;;;;;
8002021781;FISIOTERAPIA Y SALUD;;9595;;;;;
8002041537;E S E HOSPITAL SAN VICENTE DE PAUL DE L;DE LORICA;9599;;;;;
8002044975;HOSPITAL SAN JOSE GUACHETA;;9601;;;;;
8002055978;ENFERMERAS SERVICIOS INTEGRALES SAS;;9605;;;;;
